SIZE_N,MOVES
0,0
1,1
2,4
3,12
4,42
5,60
6,127
7,113
8,319
9,274
10,653
11,776
12,1108
13,1037
14,1666
15,1877
16,2249
17,3673
18,3730
19,3595
20,3641
21,4920
22,10795
23,8893
24,5277
25,12384
26,9898
27,11032
28,12041
29,9153
30,12158
31,16212
32,10258
33,15410
34,20839
35,22328
36,23948
37,26352
38,21100
39,37600
40,22666
41,33264
42,28937
43,33954
44,43886
45,52085
46,30945
47,45532
48,43739
49,59904
50,57664
51,72782
52,52342
53,67084
54,45750
55,73771
56,79008
57,99188
58,61426
59,91135
60,85100
61,123799
62,80864
63,117625
64,99799
65,140734
66,77404
67,126874
68,113498
69,142161
70,130223
71,189031
72,93520
73,132204
74,137842
75,151369
76,121224
77,195795
78,142902
79,155878
80,159082
81,185083
82,179849
83,211543
84,178314
85,232063
86,150073
87,205611
88,201348
89,361236
90,197067
91,279245
92,216335
93,373629
94,204339
95,329245
96,225790
97,310853
98,275256
99,319015
100,225890
101,404511
102,221163
103,482925
104,312917
105,388806
106,314621
107,372829
108,281527
109,370710
110,269484
111,437146
112,354430
113,393186
114,340573
115,513406
116,323795
117,436405
118,345101
119,639860
120,311203
121,503771
122,466564
123,761738
124,467731
125,782411
126,442891
127,937223
128,425401
129,579196
130,437985
131,750910
132,578527
133,706189
134,585308
135,735053
136,540757
137,1238039
138,609122
139,827608
140,496911
141,892037
142,586294
143,1109107
144,627743
145,958279
146,702219
147,1151736
148,523621
149,911555
150,812442
151,1143837
152,815473
153,1029522
154,587124
155,1132904
156,758115
157,1390749
158,774533
159,1204878
160,907706
161,1196418
162,762043
163,1413582
164,972255
165,1132822
166,939155
167,1109555
168,822798
169,1637644
170,992414
171,1664675
172,1077809
173,1429368
174,1399875
175,1539877
176,1325346
177,1632453
178,1107545
179,1516461
180,1351347
181,1881064
182,1133533
183,2362370
184,1332993
185,2097599
186,1524845
187,2479049
188,1195182
189,2108484
190,1182439
191,2223518
192,1180607
193,1655357
194,1382271
195,2157566
196,1308846
197,2217707
198,1902000
199,1675731
200,1606577
201,2297497
202,1412014
203,1974460
204,1555378
205,2207322
206,1328534
207,1945116
208,1523029
209,2719015
210,1534347
211,2759961
212,1647634
213,2182089
214,1554004
215,2385662
216,1958195
217,2860950
218,1619404
219,2465207
220,1573051
221,3177329
222,1550423
223,3145695
224,2123351
225,3351309
226,2409611
227,2536188
228,1838613
229,3968752
230,1569803
231,3095704
232,2113696
233,3793691
234,2147370
235,3456351
236,2022756
237,3336701
238,1962900
239,3397845
240,1896088
241,4579701
242,2096212
243,3101467
244,2031046
245,4776296
246,2714500
247,2714645
248,2415521
249,4277962
250,2365927
251,3971603
252,2114466
253,3471505
254,2401872
255,3496954
256,2104898
257,4089638
258,2943052
259,5052670
260,2521911
261,5823352
262,2819507
263,3782739
264,3097860
265,5400987
266,3126698
267,5203626
268,3211522
269,4368234
270,3068879
271,6125985
272,3302465
273,4316447
274,3057049
275,4266131
276,2905154
277,6694217
278,2946584
279,3731362
280,3949466
281,6907260
282,3249383
283,5868158
284,3091171
285,5964612
286,3792391
287,6131333
288,3736799
289,7699347
290,3927293
291,7344538
292,3411652
293,6502724
294,3669959
295,5715279
296,3925948
297,6545800
298,3803909
299,4982561
300,3442778
301,7492237
302,3924638
303,6793439
304,3364210
305,6212363
306,3696704
307,6428793
308,4277372
309,6892019
310,3648508
311,9827364
312,4095328
313,6838463
314,4782347
315,7003351
316,4624818
317,8932859
318,4161498
319,8279082
320,4169877
321,7200539
322,5177323
323,8408005
324,4075469
325,7970707
326,5630925
327,10562119
328,4129029
329,8229860
330,4137433
331,9697756
332,4847017
333,6834493
334,5251496
335,8445771
336,4962390
337,7438770
338,4602385
339,9207411
340,4732540
341,9528385
342,5751746
343,9822578
344,4896748
345,10207354
346,5377156
347,9078453
348,6296900
349,8704619
350,6073601
351,10652557
352,6353754
353,9792319
354,5425269
355,10257986
356,5948346
357,14011084
358,5347561
359,10594710
360,5599041
361,8620237
362,6644275
363,10575945
364,7217622
365,11262636
366,5549869
367,9192935
368,6088473
369,9582434
370,6787791
371,11041297
372,7130210
373,10398522
374,6307226
375,11883485
376,6206778
377,11524923
378,6445261
379,10754865
380,7383681
381,13714076
382,6338145
383,11813829
384,7409060
385,11836694
386,8419218
387,12238138
388,8896460
389,11164151
390,7789865
391,11729650
392,8681025
393,14105413
394,9128242
395,12861959
396,6913486
397,15992174
398,8527501
399,12109691
400,8474948
401,12008239
402,9872888
403,13404806
404,7020379
405,12596223
406,9177923
407,15542669
408,8858917
409,11016719
410,9693556
411,16596385
412,8549829
413,19106631
414,7862235
415,13489680
416,8207908
417,15393298
418,9826224
419,12580095
420,10026470
421,13167856
422,9727342
423,14609889
424,11116381
425,15123391
426,7665049
427,15163701
428,7167154
429,18177710
430,8933719
431,18658764
432,8992371
433,17711318
434,10151394
435,13983894
436,8551821
437,20169133
438,8019944
439,19316288
440,8872592
441,15137790
442,9648920
443,18595422
444,9901361
445,16588909
446,8652665
447,19662324
448,11793418
449,20400566
450,11877592
451,16771489
452,9919314
453,18444000
454,11111291
455,15203687
456,13502156
457,18463800
458,9449468
459,17532896
460,12414969
461,20929117
462,9768857
463,19285049
464,9422133
465,15565276
466,12022017
467,22126869
468,12085598
469,23901151
470,10488722
471,21611143
472,11413303
473,20948566
474,9320411
475,19474360
476,10040284
477,19138022
478,12707608
479,17822786
480,11839590
481,24113143
482,10470635
483,21166951
484,13322080
485,20938085
486,12148356
487,22558970
488,12296504
489,20513824
490,12046987
491,24581564
492,11601459
493,24667081
494,10711252
495,19887784
496,15264486
497,27874559
498,14542685
499,22654797
500,12740474
501,24691515
502,13526433
503,20907710
504,11758960
505,36740304
506,12242834
507,22449848
508,14392346
509,23003501
510,15674358
511,25401392
512,14859017
513,31645830
514,13271301
515,35792067
516,15145691
517,19310457
518,15374946
519,21898095
520,14190405
521,22613371
522,12697737
523,26992623
524,17611264
525,28151842
526,14150446
527,32203182
528,16413058
529,26218460
530,15302026
531,23208827
532,15091527
533,25142912
534,15113327
535,29918903
536,17754624
537,27691218
538,14768193
539,26933470
540,12376541
541,21941062
542,17083073
543,27853385
544,16811709
545,28177969
546,19977277
547,30011277
548,16799333
549,33457827
550,17381384
551,33404571
552,20024846
553,29078075
554,17129670
555,25518142
556,18896523
557,34592650
558,16708815
559,36343929
560,20073101
561,30360613
562,20959565
563,27594699
564,15572220
565,35958363
566,19150768
567,30205798
568,18458520
569,32136314
570,16042737
571,37046080
572,15633498
573,43285798
574,19737405
575,27651922
576,22481744
577,32036113
578,22455021
579,34537045
580,19434592
581,32913834
582,21004095
583,31544476
584,18110763
585,34477544
586,20846532
587,37667333
588,17037122
589,33045479
590,20526294
591,42565075
592,23126261
593,32452221
594,17715908
595,41511171
596,21493061
597,32345802
598,23653777
599,35636239
600,19804422
601,32657117
602,20215505
603,37664139
604,22516779
605,41238592
606,18006098
607,39769436
608,21463301
609,33843447
610,23714767
611,37367846
612,21834266
613,32556966
614,19843434
615,40267560
616,23306350
617,36957388
618,25325882
619,40153570
620,19356079
621,38167094
622,21649149
623,37017874
624,23156965
625,38895285
626,27383192
627,36800602
628,28917634
629,48185726
630,26541824
631,43736439
632,24602380
633,39792879
634,23288922
635,38038298
636,26718625
637,50863755
638,25002316
639,52443191
640,21449780
641,42377148
642,21391989
643,42981505
644,21310754
645,47891581
646,27501590
647,36633308
648,23418100
649,36768621
650,26533405
651,44343273
652,21933835
653,40408637
654,25196936
655,47814011
656,24045340
657,39165384
658,28353383
659,49601218
660,27471376
661,45345392
662,22152689
663,35852042
664,24935940
665,37790542
666,25195140
667,42904892
668,34553007
669,52894563
670,28546155
671,53443458
672,33853799
673,36976480
674,28851790
675,45282134
676,31714986
677,46045046
678,30702287
679,42951386
680,29266273
681,44131685
682,31689824
683,50732320
684,31947940
685,54455742
686,29515801
687,39756079
688,32497360
689,64044800
690,32164118
691,44001461
692,34714728
693,50611027
694,27994794
695,48640908
696,27966482
697,51729659
698,29256978
699,50965709
700,34338718
701,50440664
702,39753106
703,51257127
704,34510143
705,72877464
706,28794511
707,52941615
708,26151068
709,56342077
710,31391346
711,47975577
712,31367132
713,48884234
714,27287483
715,57965036
716,29776663
717,48442654
718,36126600
719,52286900
720,32057678
721,54658452
722,33697211
723,60923689
724,29112544
725,45823337
726,39803908
727,58130410
728,33981860
729,61350546
730,32974069
731,72630668
732,32162449
733,53980059
734,35902949
735,54050926
736,29861005
737,72092199
738,35831420
739,63885068
740,31951792
741,56874492
742,37265459
743,56589084
744,33374398
